Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Antony M.J.; Sankaralingam B.P.; Khan S.; Almjally A.; Almujally N.A.; Mahendran R.K.,"Antony, Mary Judith (58568915400); Sankaralingam, Baghavathi Priya (55330691900); Khan, Shakir (57218376390); Almjally, Abrar (57215673447); Almujally, Nouf Abdullah (57193325656); Mahendran, Rakesh Kumar (58151259500)",58568915400; 55330691900; 57218376390; 57215673447; 57193325656; 58151259500,Brain–Computer Interface: The HOL–SSA Decomposition and Two-Phase Classification on the HGD EEG Data,2023,Diagnostics,13,17,2852,,,,4,10.3390/diagnostics13172852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170380274&doi=10.3390%2fdiagnostics13172852&partnerID=40&md5=9d8846d557f962a671133fe188fa819c,artifact removal; brain–computer interface (BCI); electroencephalogram (EEG) signals; Independent Component Analysis (ICA); Singular Spectrum Analysis (SSA),Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85170380274,"artifact removal, brain–computer interface (bci), electroencephalogram (eeg) signals, independent component analysis (ica), singular spectrum analysis (ssa)",Machine Learning
Satheesh A.; Navaneeth P.; Suneesh P.V.; Sarathchandran C.; Kandasamy E.,"Satheesh, Anjitha (57223314989); Navaneeth, Punnakkal (57207875421); Suneesh, Punathil Vasu (36678326600); Sarathchandran, C. (56282558700); Kandasamy, Elango (58010148200)",57223314989; 57207875421; 36678326600; 56282558700; 58010148200,"Synthesis, characterization and study of electrochemical applicability of novel asymmetrically substituted 1,3-dialkyl-1,2,3-benzotriazolium salts for supercapacitor fabrication",2023,RSC Advances,13,22,,14737,14746,9,9,10.1039/d3ra01958f,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159784667&doi=10.1039%2fd3ra01958f&partnerID=40&md5=b236357bb4a6483886d08a0a9410d5ba,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85159784667,,Others
Singh H.; Sharma J.R.; Kumar S.,"Singh, Harmandeep (57217074679); Sharma, Janak Raj (35091595200); Kumar, Sunil (57390312100)",57217074679; 35091595200; 57390312100,A simple yet efficient two-step fifth-order weighted-Newton method for nonlinear models,2023,Numerical Algorithms,93,1,,203,225,22,14,10.1007/s11075-022-01412-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139456174&doi=10.1007%2fs11075-022-01412-w&partnerID=40&md5=75cd33f0473184094782d2e848f951ba,Computational efficiency; Convergence; Iterative methods; System of nonlinear equations,Article,Final,,Scopus,2-s2.0-85139456174,"computational efficiency, convergence, iterative methods, system of nonlinear equations",Others
Shankar R.; Nalla N.R.; Amrita Laasya R.; Muthulakshmi M.,"Shankar, R. (57772583900); Nalla, Nikitha Reddy (57772935900); Amrita Laasya, R. (58930250000); Muthulakshmi, M. (57201588260)",57772583900; 57772935900; 58930250000; 57201588260,Real-Time Pig Vocal Analysis for Early Respiratory Infection Study,2023,"2023 IEEE 20th India Council International Conference, INDICON 2023",,,,630,635,5,1,10.1109/INDICON59947.2023.10440927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187313273&doi=10.1109%2fINDICON59947.2023.10440927&partnerID=40&md5=745cd07e8d36d4d8a69d4e9b9fa943dc,BLE; IOT; MFCC; MFE; TinyML,Conference paper,Final,,Scopus,2-s2.0-85187313273,"ble, iot, mfcc, mfe, tinyml",IoT
Sri Varmaa V.; Mageshwari G.; Reddy S.V.A.; Lakshmi D.S.; Chandralekha M.,"Sri Varmaa, V. (58765414600); Mageshwari, G. (58395103200); Reddy, Surasani Venkata Anusha (58765672100); Lakshmi, Durgam Sai (58482214200); Chandralekha, M. (57190855876)",58765414600; 58395103200; 58765672100; 58482214200; 57190855876,"Underwater image re-enhancement with Simplest Color Balance, CLAHE Algorithm, De-noising Convolutional Neural Network and Unsharp Masking",2023,"2023 14th International Conference on Computing Communication and Networking Technologies, ICCCNT 2023",,,,,,,0,10.1109/ICCCNT56998.2023.10307856,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179842475&doi=10.1109%2fICCCNT56998.2023.10307856&partnerID=40&md5=82028581ef7d40bf19bf1cf65bf4dea7,Contrast; Contrast Limited Adaptive Histogram Equalization (CLAHE); Light Attenuation; Light attenuation; Simplest color balance; Unsharp Masking,Conference paper,Final,,Scopus,2-s2.0-85179842475,"contrast, contrast limited adaptive histogram equalization (clahe), light attenuation, light attenuation, simplest color balance, unsharp masking",Others
Noble N.; Radhika N.; Sathishkumar M.; Saleh B.,"Noble, Niveditha (58109630800); Radhika, N. (39661227200); Sathishkumar, M. (55765410800); Saleh, Bassiouny (57210207242)",58109630800; 39661227200; 55765410800; 57210207242,Characterisation and property evaluation of High Entropy Alloy coating on 316L steel via thermal spray synthesis,2023,Tribology International,185,,108525,,,,61,10.1016/j.triboint.2023.108525,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152720577&doi=10.1016%2fj.triboint.2023.108525&partnerID=40&md5=69b97a043530d1aa43efbd326d0b4e44,316L steel; Atmospheric Plasma Spray; Coating; Corrosion; High Entropy Alloy; Wear,Article,Final,,Scopus,2-s2.0-85152720577,"316l steel, atmospheric plasma spray, coating, corrosion, high entropy alloy, wear",Materials Science
Shankar R.; Muthulakshmi M.,"Shankar, R. (57772583900); Muthulakshmi, M. (57201588260)",57772583900; 57201588260,"Comparing YOLOV3, YOLOV5 & YOLOV7 Architectures for Underwater Marine Creatures Detection",2023,"Proceedings of 3rd IEEE International Conference on Computational Intelligence and Knowledge Economy, ICCIKE 2023",,,,25,30,5,11,10.1109/ICCIKE58312.2023.10131703,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163087514&doi=10.1109%2fICCIKE58312.2023.10131703&partnerID=40&md5=3e3140289b8f672f71aa64f3d203e8f0,and SPP; CNN; FPN; IOU; PANet; UIE; YOLO,Conference paper,Final,,Scopus,2-s2.0-85163087514,"and spp, cnn, fpn, iou, panet, uie, yolo",AI
Lathia R.; Nampoothiri K.N.; Sagar N.; Bansal S.; Modak C.D.; Sen P.,"Lathia, Rutvik (57204564528); Nampoothiri, Krishnadas Narayanan (57193676724); Sagar, Nitish (57877676300); Bansal, Shubhi (57220731255); Modak, Chandantaru Dey (57194850573); Sen, Prosenjit (55432207900)",57204564528; 57193676724; 57877676300; 57220731255; 57194850573; 55432207900,Advances in Microscale Droplet Generation and Manipulation,2023,Langmuir,39,7,,2461,2482,21,26,10.1021/acs.langmuir.2c02905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148479899&doi=10.1021%2facs.langmuir.2c02905&partnerID=40&md5=d1d45f4729a4920402c7ef7044d324fd,,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85148479899,,Others
Reddy M.S.S.A.; Aishwarya N.,"Reddy, M. Sai Sree Akshitha (58482688800); Aishwarya, N. (36808965900)",58482688800; 36808965900,A Deep Learning Approach to Identify Fresh and Stale Fruits and Vegetables with YOLO,2023,"IEEE International Conference on Advances in Electronics, Communication, Computing and Intelligent Information Systems, ICAECIS 2023 - Proceedings",,,,606,610,4,17,10.1109/ICAECIS58353.2023.10170163,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166367282&doi=10.1109%2fICAECIS58353.2023.10170163&partnerID=40&md5=e5b9abf7f92e7da3e3d8c8cca2a04bc6,deep learning; detection and classification; neural network; YOLO,Conference paper,Final,,Scopus,2-s2.0-85166367282,"deep learning, detection and classification, neural network, yolo",AI
Vikram K.; Bhaumik S.; Pramanik S.,"Vikram, Kamlendra (57220033401); Bhaumik, Shubrajit (56097330800); Pramanik, Sumit (57195245135)",57220033401; 56097330800; 57195245135,Effect of graphite on tribological and mechanical properties of PA6/5GF composites,2023,Journal of Thermal Analysis and Calorimetry,148,9,,3341,3355,14,23,10.1007/s10973-022-11939-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147534623&doi=10.1007%2fs10973-022-11939-8&partnerID=40&md5=968e4f5090d23615f0fba061ac697b74,Friction; Glass fibre; Hardness; Polyamide 6; TGA; Tribology; Wear,Article,Final,,Scopus,2-s2.0-85147534623,"friction, glass fibre, hardness, polyamide 6, tga, tribology, wear",Materials Science
Sharma A.; Babbar H.; Rani S.; Sah D.K.; Sehar S.; Gianini G.,"Sharma, Anshika (57188760542); Babbar, Himanshi (57212496116); Rani, Shalli (56024601000); Sah, Dipak Kumar (58631648300); Sehar, Sountharrajan (57192169178); Gianini, Gabriele (7005964726)",57188760542; 57212496116; 56024601000; 58631648300; 57192169178; 7005964726,MHSEER: A Meta-Heuristic Secure and Energy-Efficient Routing Protocol for Wireless Sensor Network-Based Industrial IoT,2023,Energies,16,10,4198,,,,27,10.3390/en16104198,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160625034&doi=10.3390%2fen16104198&partnerID=40&md5=614157afa10c5a65212983edbaa6c38f,energy efficiency; industrial internet of things; meta-heuristic; sensor nodes; wireless sensor networks,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85160625034,"energy efficiency, industrial internet of things, meta-heuristic, sensor nodes, wireless sensor networks",IoT
Cazan S.; Bhaumik S.; Paleu V.; Crețu S.,"Cazan, Stelian (56472829600); Bhaumik, Shubrajit (56097330800); Paleu, Viorel (8292296000); Crețu, Spiridon (55395692100)",56472829600; 56097330800; 8292296000; 55395692100,Developing a Fast-Processing Novel Algorithm for Contact Analysis of Standard Spur Gears,2023,Symmetry,15,2,554,,,,2,10.3390/sym15020554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149296313&doi=10.3390%2fsym15020554&partnerID=40&md5=c3af7a28ef96d77f7efb3a5e32781d88,contact mechanics; mathematical modeling; numerical methods; spur gears; symmetric and asymmetric contacts,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85149296313,"contact mechanics, mathematical modeling, numerical methods, spur gears, symmetric and asymmetric contacts",Others
Dharminder D.; Reddy C.B.; Das A.K.; Park Y.; Jamal S.S.,"Dharminder, Dharminder (57210165312); Reddy, Challa Bhageeratha (57927949300); Das, Ashok Kumar (55450732800); Park, Youngho (56962990300); Jamal, Sajjad Shaukat (57198092048)",57210165312; 57927949300; 55450732800; 56962990300; 57198092048,Post-Quantum Lattice-Based Secure Reconciliation Enabled Key Agreement Protocol for IoT,2023,IEEE Internet of Things Journal,10,3,,2680,2692,12,30,10.1109/JIOT.2022.3213990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139876948&doi=10.1109%2fJIOT.2022.3213990&partnerID=40&md5=5e774474a865bba3a21440887bf01d83,Authentication and key agreement; Internet of Things (IoT); lattice-based cryptography; security; simulation,Article,Final,,Scopus,2-s2.0-85139876948,"authentication and key agreement, internet of things (iot), lattice-based cryptography, security, simulation",IoT
Renjith P.K.; Sarathchandran C.; Chandramohanakumar N.; Sekkar V.,"Renjith, P.K. (57222318163); Sarathchandran, C. (56282558700); Chandramohanakumar, N. (6507797259); Sekkar, V. (6602078609)",57222318163; 56282558700; 6507797259; 6602078609,Silica aerogel composite with inherent superparamagnetic property: a pragmatic and ecofriendly approach for oil spill clean-up under harsh conditions,2023,Materials Today Sustainability,24,,100498,,,,13,10.1016/j.mtsust.2023.100498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171780587&doi=10.1016%2fj.mtsust.2023.100498&partnerID=40&md5=5dd73fe54bff2d8998c273302969a8fa,Ambient pressure drying; Eco-friendly; Melamine-formaldehyde foam; Oil absorption; Remote maneuvering; Sorption capacity,Article,Final,,Scopus,2-s2.0-85171780587,"ambient pressure drying, eco-friendly, melamine-formaldehyde foam, oil absorption, remote maneuvering, sorption capacity",Materials Science
Selvaraj D.; Mugunthan S.P.; Mani Chandra H.; Govindasamy C.; Al-Numair K.S.; Balasubramani R.,"Selvaraj, Dhivya (37081654300); Mugunthan, Susithra Priyadarhni (57224854992); Mani Chandra, Harish (57224862703); Govindasamy, Chandramohan (24464925300); Al-Numair, Khalid S (59157713700); Balasubramani, Ravindran (56295269700)",37081654300; 57224854992; 57224862703; 24464925300; 59157713700; 56295269700,In silico identification of novel and conserved microRNAs and targets in peppermint (Mentha piperita) using expressed sequence tags (ESTs),2023,Journal of King Saud University - Science,35,4,102604,,,,1,10.1016/j.jksus.2023.102604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150835655&doi=10.1016%2fj.jksus.2023.102604&partnerID=40&md5=2649eaa4949ac46e19c0e289f44dcdb0,BLAST; Computational; miRNA; Peppermint; Potential; Target genes,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85150835655,"blast, computational, mirna, peppermint, potential, target genes",Others
Sophiya E.; Vidyasekaran H.,"Sophiya, E. (57203883240); Vidyasekaran, Harine (58916529900)",57203883240; 58916529900,Impact of Diet and Nutritional Factors in Controlling Type 2 Diabetes Through Machine Learning,2023,"2023 International Conference on Next Generation Electronics, NEleX 2023",,,,,,,0,10.1109/NEleX59773.2023.10421052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186506026&doi=10.1109%2fNEleX59773.2023.10421052&partnerID=40&md5=e8422d83e95ec9e96122f97d550e3a66,Blood sugar control; Glycaemic index; Ketosis; Low carbohydrate diet; Machine learning; Nutrition; Type 2 Diabetes Mellitus,Conference paper,Final,,Scopus,2-s2.0-85186506026,"blood sugar control, glycaemic index, ketosis, low carbohydrate diet, machine learning, nutrition, type 2 diabetes mellitus",Machine Learning
Sakthivel S.; Akash Ram R.K.,"Sakthivel, S. (59783647700); Akash Ram, R.K. (57686258700)",59783647700; 57686258700,Virtual Teaching Activity Monitor,2023,Artificial Intelligence for Sustainable Applications,,,,199,217,18,0,10.1002/9781394175253.ch12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174089301&doi=10.1002%2f9781394175253.ch12&partnerID=40&md5=ab6b78e103d20a9e38d39b0ffe55668a,attendance’s system; attention states; eLearning; Eye Aspect Ratio (EAR); facial feature detection; head pose estimation,Book chapter,Final,,Scopus,2-s2.0-85174089301,"attendance’s system, attention states, elearning, eye aspect ratio (ear), facial feature detection, head pose estimation",Others
Sharma J.R.; Kumar S.; Singh H.,"Sharma, Janak Raj (35091595200); Kumar, Sunil (57390312100); Singh, Harmandeep (57217074679)",35091595200; 57390312100; 57217074679,A new class of derivative-free root solvers with increasing optimal convergence order and their complex dynamics,2023,SeMA Journal,80,2,,333,352,19,5,10.1007/s40324-022-00288-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126283800&doi=10.1007%2fs40324-022-00288-z&partnerID=40&md5=b9b32cab23e2a618728278606b3c8225,Derivative free methods; Nonlinear equations; Optimal convergence; Padé approximation,Article,Final,,Scopus,2-s2.0-85126283800,"derivative free methods, nonlinear equations, optimal convergence, padé approximation",Others
Rani P.S.; Priya S.B.,"Rani, P. Sheela (57394388600); Priya, S. Baghavathi (55330691900)",57394388600; 55330691900,A block chain-based approach using proof of continuous work consensus algorithm to secure the educational records,2023,Peer-to-Peer Networking and Applications,16,5,,2456,2473,17,3,10.1007/s12083-023-01533-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168388290&doi=10.1007%2fs12083-023-01533-6&partnerID=40&md5=b527510182291ab9a5d8556e9e526256,Blockchain; Data sharing; Educational records; Proof of Continuous Work; Security; Students educational records,Article,Final,,Scopus,2-s2.0-85168388290,"blockchain, data sharing, educational records, proof of continuous work, security, students educational records",Blockchain
Polaki R.; Annamalai R.,"Polaki, Ramya (58916270600); Annamalai, R. (57210211908)",58916270600; 57210211908,A Comparative Study of Hybrid Deep Learning Techniques for COVID-19 Detection based on Cough Sound Analysis,2023,"Proceedings - 4th IEEE 2023 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2023",,,,478,485,7,1,10.1109/ICCCIS60361.2023.10425787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186534380&doi=10.1109%2fICCCIS60361.2023.10425787&partnerID=40&md5=d0d094eede4bf39b474c1236d490eae2,Attention Mechanism; Bi-LSTM; Cough Sound; Deep Learning; k-fold cross-validation; Mel-Spectograms; SARS-CoV-2,Conference paper,Final,,Scopus,2-s2.0-85186534380,"attention mechanism, bi-lstm, cough sound, deep learning, k-fold cross-validation, mel-spectograms, sars-cov-2",AI
Madala V.; Bharatula S.,"Madala, Vimala (58944532400); Bharatula, Sitadevi (57188646208)",58944532400; 57188646208,Smart Bus Transportation System,2023,"2023 International Conference on Power Energy, Environment and Intelligent Control, PEEIC 2023",,,,1035,1038,3,1,10.1109/PEEIC59336.2023.10450742,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188081119&doi=10.1109%2fPEEIC59336.2023.10450742&partnerID=40&md5=0c72464acc8fe4a7bc4162b1ef9d6559,Fuel Leak Detection; GSM Module; IR Sensors; Public Transportation; Safety; Seat Occupancy,Conference paper,Final,,Scopus,2-s2.0-85188081119,"fuel leak detection, gsm module, ir sensors, public transportation, safety, seat occupancy",Smart Cities
Vidhyasagar B.S.; Kartheek R.,"Vidhyasagar, B.S. (58702067700); Kartheek, Ravula (58916013200)",58702067700; 58916013200,A Review on Effective Detection and Prevention for DDOS Attack in Cloud Virtual Environment Using Honeypot,2023,"Proceedings - 4th IEEE 2023 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2023",,,,939,946,7,1,10.1109/ICCCIS60361.2023.10425464,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186517245&doi=10.1109%2fICCCIS60361.2023.10425464&partnerID=40&md5=c6ecf3655ed1884986d8290ed02b78af,attacks; distributed denial of service (DDOS); honeypot,Conference paper,Final,,Scopus,2-s2.0-85186517245,"attacks, distributed denial of service (ddos), honeypot",Others
